"Name","Rating","Rating Deviation","Volatility"
"n0neryanford",2031.42159657,869.864177886,0.0599963529838
"Toast",1303.01688524,600.185443417,0.0600017806464
"dimoonpuncher",1272.9176509,832.458697567,0.0599983595264
"mustachio",1260.9460835,793.308515688,0.0599956163182
"b1.2morsecode762",1536.27186211,898.66337086,0.0599995200274
"dynamic",2145.64391737,989.424421048,0.0599508540393
"saxophoneoftime",1413.1760894,826.109617224,0.0599986093948
"a1.2criphood",1285.05333432,887.957072571,0.0599983329701
"advo1.2",1249.42578469,869.013993167,0.0599990968828
"mikeyb",1469.45785255,933.213519197,0.0599994889814
"magicscrumpy6.2",1237.67310307,868.307521911,0.0599994281386
"brazmonkey13",1767.06559736,1108.49170996,0.0599995846675
"sirbrastonmcgaffinsburg",1547.56842059,924.797683949,0.0599978362522
"SPD",1322.00102127,694.637943467,0.0599926662956
"Signd0g",1904.23520631,445.9267917,0.0600043713052
"b5.2parvizal",1461.74715491,891.972565676,0.0599978902764
"NKDK",903.737353648,305.89864651,0.0599954196684
"Bandit",1383.21745823,710.373165232,0.059992769257
"vaatu",1554.76866111,911.306642725,0.0599814089542
"jack",1223.32729155,1085.22742986,0.0599966324884
"Rapatap",1325.2354678,761.633922187,0.0599958872622
"Cagnar",1255.40670714,404.147646845,0.0599953961634
"Stones",840.119253992,281.823873378,0.0599874868084
"majinjoejwinks",1356.29218625,890.342541256,0.0599973539429
"sharkington",1623.16406407,850.524081469,0.0599992444477
"kuralesache",1827.67390313,1028.37000024,0.0600058267691
"gingertheoak",1928.04463597,858.116235855,0.0599969089404
"a10.1yoyo",1704.92191308,870.073501777,0.0599981198208
"Deputy",1043.54438611,518.092307192,0.0600030817995
"Ant",1621.74371855,455.290167853,0.0599832701513
"bye23",930.105344169,874.628756708,0.0599985216009
"bye22",951.193878643,867.477336688,0.0599978317117
"bye21",965.313834181,871.947086216,0.0599976445402
"bye20",945.873500682,873.498838396,0.0599981054946
"bye25",1161.69522774,954.960568841,0.0600008881973
"bye24",968.896375977,883.493735382,0.0599988481875
"Kraig",1286.89443843,444.10427401,0.0599994459609
"General Heinz",1934.44585205,685.631524321,0.0599935365023
"niinii",1327.99241176,1132.22010457,0.0599975744672
"ctlthugz",1657.90820052,863.541097216,0.0599987737349
"Nightmare",2235.01443452,224.657718136,0.0600108166541
"butchg",2426.41740942,884.012182175,0.0599875319682
"a9.1nja",1682.34109476,870.558910635,0.0599996735105
"Eddy",1229.63143119,703.307135905,0.0599965344509
"kinglit",1775.30160333,900.616943296,0.0600048723616
